portabella mushrooms loose  200g, 10.98 , kg, 2.20, 0.2KG, 1
rosemary punnet 20g, NA, kg, N, 0.02KG, A
vine ripened cherry tomatoes  250g, 17.92 , kg, 4.48, 0.25KG, 1
butter lettuce, 1.98 , kg, 1.98, butter lettuce 1 each, 1
william bartlett pears, 4.00 , kg, 0.80, william bartlett pears 1 each, 1
combo box fruit and vegetable medium, 25.00 , kg, 25.00, combo box fruit and vegetable medium 1 each, 1
baby leaf blend salad leaves  300g, 13.33 , kg, 4.00, 0.3KG, 1
creamy pasta salad 450g, 12.22 , kg, 5.50, 0.45KG, 1
yellow squash loose  50g, 9.98 , kg, 0.50, 0.05KG, 1
flat mushrooms loose  350g, 10.98 , kg, 3.84, 0.35KG, 1
dapple dandy plums, 3.00 , kg, 0.24, dapple dandy plums 1 each, 1
asian buk choy 1 bunch, 1.98 , kg, 1.98, asian buk choy 1 bunch, 1
sliced cup mushrooms  375g, 14.61 , kg, 5.48, 0.375KG, 1
sweet corn cobettes  400g, 9.95 , kg, 3.98, 0.4KG, 1
basil punnet 20g, NA, kg, N, 0.02KG, A
brown onion shallots loose  200g, 12.98 , kg, 2.60, 0.2KG, 1
brussels sprouts loose  400g, 8.98 , kg, 3.59, 0.4KG, 1
dill punnet 20g, NA, kg, N, 0.02KG, A
thyme punnet 15g, NA, kg, N, 0.015KG, A
baby spinach leaves loose  200g, 16.98 , kg, 3.40, 0.2KG, 1
baby carisma potatoes  750g, 3.97 , kg, 2.98, 0.75KG, 1
chinese broccoli 1 bunch, 1.98 , kg, 1.98, chinese broccoli 1 bunch, 1
mini savoy cabbage, 2.50 , kg, 2.50, mini savoy cabbage 1 each, 1
caesar salad bowl 200g, 25.00 , kg, 5.00, 0.2KG, 1
crunchy australian stirfry 350g, 8.57 , kg, 3.00, 0.35KG, 1
natural almond kernels 750g, 16.00 , kg, 12.00, 0.75KG, 1
kale salad bag 120g, 33.33 , kg, 4.00, 0.12KG, 1
dutch cream brushed potatoes, 2.98 , kg, 0.27, dutch cream brushed potatoes 1 each, 1
chives punnet 20g, NA, kg, N, 0.02KG, A
tri colour capsicum pack 500g, 15.96 , kg, 7.98, 0.5KG, 1
pomegranate, 2.50 , kg, 2.50, pomegranate 1 each, 1
garden salad with cheese bowl 240g, 20.83 , kg, 5.00, 0.24KG, 1
mixed stir fry salad 400g, 7.50 , kg, 3.00, 0.4KG, 1
alfalfa sprouts  125g, 16.00 , kg, 2.00, 0.125KG, 1
parsnips, 9.98 , kg, 1.40, parsnips 1 each, 1
figs, 1.50 , kg, 1.50, figs 1 each, 1
topless pineapple half, 2.94 , kg, 2.94, topless pineapple half 1 each, 1
royal gala apples, 6.50 , kg, 6.50, 1kg, 1
lemongrass sleeved, NA, kg, N, lemongrass sleeved 1 each, A
spinach bunch, 2.98 , kg, 2.98, spinach bunch 1 each, 1
wombok cabbage half, 4.19 , kg, 4.19, wombok cabbage half 1 each, 1
mix medley grape tomatoes  350g, 19.94 , kg, 6.98, 0.35KG, 1
mini drumhead cabbage, 2.50 , kg, 2.50, mini drumhead cabbage 1 each, 1
amber jewel plums, 3.00 , kg, 0.36, amber jewel plums 1 each, 1
