fruit hot cross buns 6 pack, 0.58 , kg, 3.50, 6pk, 1
jam daisies 8 pack, 0.56 , kg, 4.50, 8pk, 1
jam filled donuts 10 pack, 0.60 , kg, 6.00, NA, 1
fruit free hot cross buns 6 pack, 0.58 , kg, 3.50, 6pk, 1
white long rolls 6 pack, 0.58 , kg, 3.50, 6pk, 1
viennese fingers 8 pack, 0.56 , kg, 4.50, 8pk, 1
vanilla layer cake 450g, 12.2, kg, 5.50, 0.45kg, 1
mini strawberry cheesecake 225g, 22.9, kg, 5.50, 0.225kg, 1
sticky date swirl cupcakes 4 pack, 1.13 , kg, 4.50, 4pk, 1
carrot cake loaf 500g, 12.0, kg, 6.00, 0.5kg, 1
cookies and cream swirl cupcakes 4 pack, 1.13 , kg, 4.50, 4pk, 1
hedgehog slice 175g, 27.1, kg, 4.75, 0.175kg, 1
raspberry and white chocolate slice 175g, 27.1, kg, 4.75, 0.175kg, 1
orange and poppy seed cake 600g, 10.0, kg, 6.00, 0.6kg, 1
mini multigrain french sticks 2 pack, 1.50 , kg, 3.00, 2pk, 1
mini tart shells 12 pack, 0.33 , kg, 4.00, 2pk, 1
sweet pastry flan 160g, 21.9, kg, 3.50, 0.16kg, 1
tart shells 6 pack, 0.58 , kg, 3.50, 6pk, 1
mini star biscuits 9 pack, 0.56 , kg, 5.00, 9pk, 1
raspberry tarts 6 pack, 0.50 , kg, 3.00, 6pk, 1
blackcurrant tarts 6 pack, 0.50 , kg, 3.00, 6pk, 1
petite vol au vents 12 pack 90g, 0.33 , kg, 4.00, 0.09kg, 1
large vol au vents 4 pack 175g, 1.00 , kg, 4.00, 0.175kg, 1
strawberry indulgent donuts 4 pack, 1.25 , kg, 5.00, 4pk, 1
chocolate indulgent donuts 4 pack, 1.25 , kg, 5.00, 4pk, 1
pecan and walnut mini tarts 2 pack, 2.00 , kg, 4.00, 2pk, 1
mini lemon tarts 2 pack, 2.00 , kg, 4.00, 2pk, 1
pecan walnut tart 580g, 20.7, kg, 12.00, 0.58kg, 1
mandm's cookies 8 pack, 0.41 , kg, 3.30, 8pk, 1
stone baked white sourdough baguette 530g, 7.5, kg, 4.00, 0.53kg, 1
apple maple and cinnamon muffins 2 pack, 2.00 , kg, 4.00, 2pk, 1
wholemeal block loaf 680g, 2.9, kg, 2.00, 0.68kg, 1
mini vanilla and chocolate cupcakes 12 pack, 0.50 , kg, 6.00, 2pk, 1
multigrain vienna loaf 400g, 6.3, kg, 2.50, 0.4kg, 1
multigrain cobb loaf 400g, 6.3, kg, 2.50, 0.4kg, 1
custard filled profiteroles 8 pack, 0.63 , kg, 5.00, 8pk, 1
7 seeds and grains cobb loaf 400g, 6.3, kg, 2.50, 0.4kg, 1
wholemeal baguette 450g, 4.4, kg, 2.00, 0.45kg, 1
7 seeds and grains block loaf 800g, 3.8, kg, 3.00, 0.8kg, 1
buttermilk scones 6 pack, 0.75 , kg, 4.50, 6pk, 1
7 seeds and grains vienna loaf 400g, 6.3, kg, 2.50, 0.4kg, 1
wholemeal cobb 400g, 6.3, kg, 2.50, 0.4kg, 1
white chocolate and macadamia cookies 6 pack, 0.58 , kg, 3.50, 6pk, 1
7 seeds and grains sandwich bread loaf 400g, 6.3, kg, 2.50, 0.4kg, 1
7 seeds and grains rolls 4 pack, 0.88 , kg, 3.50, 4pk, 1
vanilla meringue 100g, 42.0, kg, 4.20, 0.1kg, 1
long john donuts with fresh cream 2 pack, 2.13 , kg, 4.25, 2pk, 1
parmesan and onion batard 300g, 13.3, kg, 4.00, 0.3kg, 1
7 seeds and grains block loaf 400g, 6.3, kg, 2.50, 0.4kg, 1
neenish tarts 4 pack, 1.15 , kg, 4.59, 4pk, 1
lemon citrus tart 450g, 26.7, kg, 12.00, 0.45kg, 1
vietnamese rolls 6 pack, 0.33 , kg, 2.00, 6pk, 1
kaiser rolls 4 pack, 0.88 , kg, 3.50, 4pk, 1
white crusty entertainer rolls 10 pack, 0.30 , kg, 3.00, NA, 1
multigrain loaf block 680g, 2.9, kg, 2.00, 0.68kg, 1
round crusty rolls 6 pack, 0.33 , kg, 2.00, 6pk, 1
sugar donuts 6 pack, 0.33 , kg, 2.00, 6pk, 1
french stick 320g, 5.3, kg, 1.70, 0.32kg, 1
tiger vienna 450g, 5.6, kg, 2.50, 0.45kg, 1
white vienna 450g, 5.6, kg, 2.50, 0.45kg, 1
white cobb 450g, 5.6, kg, 2.50, 0.45kg, 1
super sub rolls 2 pack, 1.50 , kg, 3.00, 2pk, 1
white block loaf 680g, 2.9, kg, 2.00, 0.68kg, 1
custard tarts 2 pack, 2.25 , kg, 4.50, 2pk, 1
custard tart 400g, 11.3, kg, 4.50, 0.4kg, 1
stone baked ciabatta rolls 4pack, 1.05 , kg, 4.20, NA, 1
cinnamon donuts 12 pack, 0.33 , kg, 4.00, 2pk, 1
rustic cheese and chives scones 4 pack, 1.13 , kg, 4.50, 4pk, 1
rustic cranberry and white chocolate scones 4 pack, 1.13 , kg, 4.50, 4pk, 1
wholemeal vienna 400g, 6.3, kg, 2.50, 0.4kg, 1
white split vienna 450g, 5.6, kg, 2.50, 0.45kg, 1
rustic sticky date scones 4 pack, 1.13 , kg, 4.50, 4pk, 1
double chocolate muffins 2 pack, 2.00 , kg, 4.00, 2pk, 1
chocolate ganache cake 650g, 23.1, kg, 15.00, 0.65kg, 1
vanilla cake tray, 12.0, kg, 12.00, 1kg, 1
ancient grains paninis 3 pack, 1.33 , kg, 4.00, 3pk, 1
dusted sponge with fresh cream 290g, 17.2, kg, 5.00, 0.29kg, 1
iced sponge with fresh cream 350g, 11.1, kg, 5.00, 0.35kg, 1
light rye sourdough rolls 4 pack, 1.05 , kg, 4.20, 4pk, 1
stone baked ciabatta loaf 350g, 11.4, kg, 4.00, 0.35kg, 1
mixed indulgent donuts 4 pack, 1.25 , kg, 5.00, 4pk, 1
